sp,postri,family,order,q0.025,q0.05,q0.25,q0.5,q0.75,q0.95,q0.975,crosscount
Chrysolophus_amherstiae,-0.12331384857023,Phasianidae,GALLIFORMES,-0.41940295,-0.3693152,-0.22361,-0.1320224,-0.02496936,0.1231979,0.1745223,5
Chrysolophus_pictus,0.0122407617793546,Phasianidae,GALLIFORMES,-0.20784085,-0.1745202,-0.06659988,0.01282679,0.08876278,0.2173874,0.27612915,8
Crossoptilon_auritum,0.0417933740934066,Phasianidae,GALLIFORMES,-0.4243426,-0.3590916,-0.1264365,0.05212501,0.2283982,0.4736012,0.54783375,2
Lophura_diardi,0.322500725044955,Phasianidae,GALLIFORMES,-0.13502485,-0.07309589,0.1643874,0.3356543,0.4902404,0.7089932,0.7839412,2
Gallus_gallus,-0.0751776070080819,Phasianidae,GALLIFORMES,-0.36864245,-0.3261843,-0.1762327,-0.07584662,0.02257475,0.1546266,0.2022976,11
Gallus_sonneratii,0.130985475537562,Phasianidae,GALLIFORMES,-0.32160385,-0.2487093,-0.02018757,0.1382674,0.2784517,0.5148454,0.5902586,2
Lophura_edwardsi,-0.366503353682617,Phasianidae,GALLIFORMES,-1.2558855,-1.098668,-0.6563729,-0.3626306,-0.09486774,0.2129038,0.3062296,1
Lophura_leucomelanos,0.0140511490798202,Phasianidae,GALLIFORMES,-0.3788072,-0.3104548,-0.1222858,0.0033231,0.1212848,0.2984441,0.35151,5
Lophura_nycthemera,-0.116077397683217,Phasianidae,GALLIFORMES,-0.37658055,-0.3333864,-0.1992208,-0.1158636,-0.02565892,0.1011536,0.14598945,9
Lophophorus_impejanus,0.0936597976612388,Phasianidae,GALLIFORMES,-0.29446135,-0.2337677,-0.03517754,0.1010475,0.2276115,0.4488248,0.50895895,3
Pavo_cristatus,-0.0501476227849151,Phasianidae,GALLIFORMES,-0.43750465,-0.3763826,-0.1764381,-0.04922765,0.09718575,0.2937865,0.34752705,3
Perdix_perdix,0.193278011869161,Phasianidae,GALLIFORMES,-0.28935885,-0.2141347,0.01803715,0.203849,0.3662187,0.6379542,0.71357635,1
